['22003360', '21008300', '21009306', '22003468', '22003494']
['22003360', '21008300', '11012002', '22003468', '22003494']
['22003360', '21008300', '21012001', '22003468', '22003494']
['22003360', '21008305', '21009306', '22003468', '22003494']
['22003360', '21008305', '11012002', '22003468', '22003494']
['22003360', '21008305', '21012001', '22003468', '22003494']
['22003428', '21008300', '21009306', '22003468', '22003494']
['22003428', '21008300', '11012002', '22003468', '22003494']
['22003428', '21008300', '21012001', '22003468', '22003494']
['22003428', '21008305', '21009306', '22003468', '22003494']
['22003428', '21008305', '11012002', '22003468', '22003494']
['22003428', '21008305', '21012001', '22003468', '22003494']
['22003429', '21008300', '21009306', '22003468', '22003494']
['22003429', '21008300', '11012002', '22003468', '22003494']
['22003429', '21008300', '21012001', '22003468', '22003494']
['22003429', '21008305', '21009306', '22003468', '22003494']
['22003429', '21008305', '11012002', '22003468', '22003494']
['22003429', '21008305', '21012001', '22003468', '22003494']
